Filtering the log data using "process == "macos-dock-cc-v2" AND category == "fullscreen-green-probe""
Timestamp               Ty Process[PID:TID]
2026-08-09 00:08:06.000 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470269.005327 key-down keyCode=34 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:06.141 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470269.146277 key-down keyCode=2 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:06.282 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470269.286564 key-down keyCode=31 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:06.423 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470269.428327 key-down keyCode=32 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:06.652 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470269.656723 key-down keyCode=46 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:06.787 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470269.791331 key-down keyCode=14 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:06.812 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470269.817006 key-down keyCode=34 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:07.031 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470270.035787 key-down keyCode=16 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:07.234 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470270.238362 key-down keyCode=31 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:07.320 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470270.324957 key-down keyCode=32 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:08.257 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470271.262036 key-down keyCode=49 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:08:16.973 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470279.977677 mouse-down point=(357.8,580.9) flipped=(357.8,859.1) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:08:17.067 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470280.072257 cache-ready pid=81876 wid=54444 button=(287.0,215.0,16.0,16.0) window=(233.0,207.0,603.0,505.0)
2026-08-09 00:08:17.277 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470280.281429 mouse-down point=(497.1,566.9) flipped=(497.1,873.1) flags=0x0 under=0 cachedWid=54444 button=(287.0,215.0,16.0,16.0) age=0.109 active=1 fullscreen=0 exact=0 flippedHit=0 expanded=0 windowMatch=0 screenMatch=1 verdict=outside-button
2026-08-09 00:08:18.400 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470281.405029 key-down keyCode=45 flags=0x100108 repeat=0 age=0.018 active=1 fullscreen=0 screenMatch=1 verdict=shortcut-mismatch
2026-08-09 00:08:18.578 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470281.583175 cache-ready pid=81876 wid=62315 button=(392.0,140.0,16.0,16.0) window=(338.0,132.0,603.0,505.0)
2026-08-09 00:08:22.190 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470285.195216 mouse-down point=(395.8,150.7) flipped=(395.8,1289.3) flags=0x0 under=0 cachedWid=62315 button=(392.0,140.0,16.0,16.0) age=0.023 active=1 fullscreen=0 exact=1 flippedHit=0 expanded=1 windowMatch=0 screenMatch=1 verdict=accepted
2026-08-09 00:08:22.190 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470285.195255 pending generation=11 pid=81876
2026-08-09 00:08:22.191 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470285.196040 order-out-complete generation=11
2026-08-09 00:08:22.445 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470285.449685 cache-ready pid=81876 wid=62315 button=(54.0,-24.0,16.0,16.0) window=(0.0,0.0,2560.0,1440.0)
2026-08-09 00:08:22.916 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470285.920503 space-notification
2026-08-09 00:08:22.928 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470285.933016 confirmed source=space-cg generation=11
2026-08-09 00:08:23.168 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470286.173075 cache-ready pid=81876 wid=62315 button=(54.0,-24.0,16.0,16.0) window=(0.0,0.0,2560.0,1440.0)
2026-08-09 00:08:24.242 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470287.246909 key-down keyCode=3 flags=0x140109 repeat=0 age=0.074 active=1 fullscreen=1 screenMatch=1 verdict=already-fullscreen
